tf,celltype_or_cluster,expected_higher_group_main,main_regulon,n_lesion,n_internal_control,mean_log1p_norm_expr_lesion,mean_log1p_norm_expr_internal_control,positive_fraction_lesion,positive_fraction_internal_control,log2fc_lesion_vs_internal_control,mannwhitney_u,p_value,direction_consistent_with_main,fdr_bh
BHLHE40,cluster_20,lesion,BHLHE40(+),1415,31,0.06151256841330544,0.051039792381803874,0.223321554770318,0.0967741935483871,0.020980511539986053,24495.0,0.12474484264470545,True,0.19959174823152873
SOX2,cluster_2,lesion,SOX2(+),2038,2239,0.35132286459539036,0.1746110422381603,0.373405299313052,0.1397945511389013,0.701737368415613,2769846.5,6.62997811652211e-57,True,7.425575490504763e-55
SOX2,cluster_4,lesion,SOX2(+),1287,2523,0.2071049323135034,0.09187640105119257,0.30225330225330227,0.09274673008323424,0.9518343325180941,1943660.0,4.792716334096053e-54,True,2.6839211470937898e-52
SOX2,cluster_3,lesion,SOX2(+),181,3681,0.07847118410802291,0.03241406449739866,0.03314917127071823,0.027709861450692746,2.3324426239808154,335144.5,0.630243251519679,True,0.7275269542653169
SOX2,cluster_16,lesion,SOX2(+),529,1229,0.13372471064308147,0.058583024183314056,0.28544423440453687,0.07567127746135069,0.9228695005329391,389872.0,2.345939966918969e-28,True,3.7535039470703506e-27
SOX2,cluster_10,lesion,SOX2(+),805,1646,0.03694079893888,0.03258117016247277,0.017391304347826087,0.01701093560145808,0.35245437629729137,662814.0,0.9356796019071066,True,0.9356796019071066
SOX2,cluster_18,lesion,SOX2(+),59,1540,0.14247910184355533,0.1451930705538861,0.2542372881355932,0.18636363636363637,-0.20785733926547068,47669.0,0.3462984303340251,False,0.47883239749889883
SOX2,cluster_26,lesion,SOX2(+),291,712,0.32218064247819445,0.15703519222910842,0.5189003436426117,0.16151685393258428,0.6499866711840379,136694.0,1.3852686346936876e-24,True,1.4104553371426638e-23
SOX2,cluster_28,lesion,SOX2(+),405,373,0.022092232211320725,0.0204853058382026,0.08641975308641975,0.040214477211796246,0.028326125617930492,78840.0,0.012976697081164603,True,0.026914630983156215
SOX2,cluster_9,lesion,SOX2(+),57,2739,0.1959340005216929,0.23745661483470312,0.2631578947368421,0.21686746987951808,-0.42125750563744296,79553.0,0.7321377125947872,False,0.8118754832734274
