combo_id,regulon_fdr_threshold,expr_abs_log2fc_threshold,positive_fraction_threshold,rule,n_retained,shortlist_members,core4_retained
69,0.1,0.25,0.05,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
70,0.1,0.25,0.1,regulon_significant_plus_direction,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
71,0.1,0.25,0.1,regulon_significant_plus_expression_significant,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
72,0.1,0.25,0.1,regulon_significant_plus_expression_significant_plus_direction,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
73,0.1,0.5,0.0,regulon_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
74,0.1,0.5,0.0,regulon_significant_plus_expression_significant,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
75,0.1,0.5,0.0,regulon_significant_plus_expression_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
76,0.1,0.5,0.05,regulon_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
77,0.1,0.5,0.05,regulon_significant_plus_expression_significant,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
78,0.1,0.5,0.05,regulon_significant_plus_expression_significant_plus_direction,6,SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;BHLHE40;SOX2
79,0.1,0.5,0.1,regulon_significant_plus_direction,5,SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;BHLHE40;SOX2
80,0.1,0.5,0.1,regulon_significant_plus_expression_significant,5,SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;BHLHE40;SOX2
81,0.1,0.5,0.1,regulon_significant_plus_expression_significant_plus_direction,5,SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;BHLHE40;SOX2
