tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Angiogenesis (GO:0045765),245,203,7,0.02857142857142857,5.151442646023926,0.0004620829023515425,PPARG;PRKCA;RUNX1;SASH1;SPRED1;SPRY2;TGFB2,0.006483295395688126
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of BMP Signaling Pathway (GO:0030513),245,23,3,0.012244897959183673,19.48589174800355,0.0004752073672917377,RBPJ;SMAD2;SMAD4,0.006483295395688126
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Cell Junction Assembly (GO:1901888),245,23,3,0.012244897959183673,19.48589174800355,0.0004752073672917377,PDLIM5;RAP1A;RAP1B,0.006483295395688126
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Negative Regulation Of Cell Differentiation (GO:0045596),245,204,7,0.02857142857142857,5.126190476190476,0.00047582015048367306,ANP32B;ITGAV;PPARG;REST;SPRED1;SPRY2;SS18,0.006483295395688126
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Mesenchymal Cell Differentiation (GO:0048762),245,54,4,0.0163265306122449,11.066061980347696,0.0004764082878620668,FGFR2;RBPJ;SMAD4;TGFB2,0.006483295395688126
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Nucleosome Organization (GO:0034728),245,54,4,0.0163265306122449,11.066061980347696,0.0004764082878620668,ARID2;BAZ1A;CHD1;CHD2,0.006483295395688126
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Peptidyl-Tyrosine Modification (GO:0018212),245,54,4,0.0163265306122449,11.066061980347696,0.0004764082878620668,DYRK1A;FGFR2;LYN;SYK,0.006483295395688126
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,MAPK Cascade (GO:0000165),245,97,5,0.02040816326530612,7.700610140963601,0.0005038266986078132,ITGAV;MAP3K4;MAP4K4;MEF2A;TAOK3,0.006807097409967432
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Mononuclear Cell Differentiation (GO:1903131),245,24,3,0.012244897959183673,18.673979591836734,0.0005404177030826787,IKZF1;LYN;PPARG,0.007097233890834061
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Outflow Tract Septum Morphogenesis (GO:0003148),245,24,3,0.012244897959183673,18.673979591836734,0.0005404177030826787,FGFR2;SMAD4;TGFB2,0.007097233890834061
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of ERBB Signaling Pathway (GO:1901186),245,24,3,0.012244897959183673,18.673979591836734,0.0005404177030826787,BCAR3;RBPJ;RTN4,0.007097233890834061
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Cell Size (GO:0008361),245,24,3,0.012244897959183673,18.673979591836734,0.0005404177030826787,ARHGAP5;EZR;RDX,0.007097233890834061
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Myeloid Cell Differentiation (GO:0030099),245,56,4,0.0163265306122449,10.670845481049563,0.000547540307871398,IKZF1;LYN;RUNX1;TET2,0.0071408381818228155
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Platelet Aggregation (GO:0090330),245,25,3,0.012244897959183673,17.927020408163266,0.0006110855858096936,LYN;PRKCA;SYK,0.007914611932073136
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of RNA Splicing (GO:0043484),245,102,5,0.02040816326530612,7.32312925170068,0.0006337922407213373,DYRK1A;HNRNPH3;MBNL1;QKI;SLC38A2,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Cardiac Muscle Cell Myoblast Differentiation (GO:0060379),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,RBPJ;REST,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Gland Morphogenesis (GO:0022612),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,FGFR2;TGFB2,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Mitotic Nuclear Membrane Disassembly (GO:0007077),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,PRKCA;VRK1,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Negative Regulation Of Cell Cycle G2/M Phase Transition (GO:1902750),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,AVEN;USP47,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,PRKCA;SASH1,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Rab Protein Signal Transduction (GO:0032483),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,DENND4C;ETFA,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Lens Fiber Cell Differentiation (GO:1902746),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,SPRED1;SPRY2,0.007916694790222379
