gene,mean_lesion,mean_internal_control,positive_fraction_lesion,positive_fraction_internal_control,log2fc_lesion_vs_internal_control,abs_log2fc,direction,positive_fraction_higher_group
TCTN3,0.11486486486486501,0.08577405857740593,0.10135135135135148,0.07810320781032086,0.4213242747242755,0.4213242747242755,lesion,0.10135135135135148
ENTPD1,0.5810810810810806,0.22942817294281775,0.3141891891891874,0.17364016736401705,1.340696920234364,1.340696920234364,lesion,0.3141891891891874
ENTPD1-AS1,1.0213963963963977,0.5913528591352838,0.47635135135134793,0.38075313807530947,0.7884517272899506,0.7884517272899506,lesion,0.47635135135134793
AL365273.1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
CC2D2B,0.5259009009008996,0.2698744769874478,0.27702702702702564,0.1785216178521621,0.9625024233145287,0.9625024233145287,lesion,0.27702702702702564
CCNJ,0.043918918918918935,0.02789400278940025,0.04166666666666668,0.027196652719665246,0.6548875474551263,0.6548875474551263,lesion,0.04166666666666668
AC021037.1,0.0022522522522522522,0.0,0.0022522522522522522,0.0,21.10293762819261,21.10293762819261,lesion,0.0022522522522522522
ZNF518A,0.8231981981982002,0.6087866108786585,0.43243243243242946,0.4009762900976239,0.43530319405756673,0.43530319405756673,lesion,0.43243243243242946
BLNK,0.1328828828828829,0.02998605299860527,0.07207207207207214,0.029288702928870262,2.147791699756234,2.147791699756234,lesion,0.07207207207207214
AL136181.1,0.0,0.000697350069735007,0.0,0.000697350069735007,-19.41152561410756,19.41152561410756,internal_control,0.000697350069735007
DNTT,0.0011261261261261261,0.0,0.0011261261261261261,0.0,20.102938268748783,20.102938268748783,lesion,0.0011261261261261261
OPALIN,0.06644144144144147,0.12133891213389138,0.05630630630630635,0.10181311018131116,-0.8688869943111039,0.8688869943111039,internal_control,0.10181311018131116
TLL2,0.01689189189189189,0.020223152022315193,0.010135135135135136,0.020223152022315193,-0.25967694309849104,0.25967694309849104,internal_control,0.020223152022315193
TM9SF3,0.5754504504504501,0.41631799163179667,0.37837837837837596,0.3019525801952566,0.46700580106632555,0.46700580106632555,lesion,0.37837837837837596
PIK3AP1,0.12049549549549557,0.09205020920502101,0.06081081081081086,0.07182705718270578,0.38848630569459813,0.38848630569459813,lesion,0.06081081081081086
LCOR,0.8614864864864882,0.8145048814504869,0.43806306306306003,0.470711297071122,0.08090482095520439,0.08090482095520439,lesion,0.43806306306306003
SLIT1,0.28828828828828784,0.6234309623430949,0.13851351351351354,0.34449093444909046,-1.112717576141291,1.112717576141291,internal_control,0.34449093444909046
SLIT1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
AL512424.1,0.0,0.000697350069735007,0.0,0.000697350069735007,-19.41152561410756,19.41152561410756,internal_control,0.000697350069735007
ARHGAP19,0.054054054054054085,0.04741980474198047,0.04842342342342345,0.04323570432357043,0.1889130980885823,0.1889130980885823,lesion,0.04842342342342345
FRAT1,0.0011261261261261261,0.010460251046025104,0.0011261261261261261,0.009762900976290097,-3.2154760100657316,3.2154760100657316,internal_control,0.009762900976290097
FRAT2,0.009009009009009009,0.008368200836820083,0.009009009009009009,0.007670850767085077,0.10645092936773629,0.10645092936773629,lesion,0.009009009009009009
AL355490.1,0.0045045045045045045,0.008368200836820083,0.0045045045045045045,0.008368200836820083,-0.8935489104931406,0.8935489104931406,internal_control,0.008368200836820083
RRP12,0.06756756756756761,0.10041841004184114,0.05518018018018022,0.08647140864714097,-0.5716209564969478,0.5716209564969478,internal_control,0.08647140864714097
AL355490.2,0.0022522522522522522,0.006276150627615063,0.0022522522522522522,0.005578800557880056,-1.4785111484034492,1.4785111484034492,internal_control,0.005578800557880056
PGAM1,0.41779279279279097,0.19386331938633225,0.2882882882882868,0.1610878661087869,1.107747742260406,1.107747742260406,lesion,0.2882882882882868
EXOSC1,0.07657657657657664,0.06903765690376575,0.06756756756756763,0.06485355648535569,0.14951966146520945,0.14951966146520945,lesion,0.06756756756756763
ZDHHC16,0.0664414414414415,0.04951185495118551,0.05518018018018022,0.04672245467224547,0.42430936478436587,0.42430936478436587,lesion,0.05518018018018022
MMS19,0.22972972972972927,0.24476987447698792,0.1745495495495492,0.19735006973500735,-0.09148843559539273,0.09148843559539273,internal_control,0.19735006973500735
UBTD1,0.07770270270270276,0.04811715481171549,0.0664414414414415,0.044630404463040445,0.6914134309356911,0.6914134309356911,lesion,0.0664414414414415
ANKRD2,0.0033783783783783786,0.003486750348675035,0.0033783783783783786,0.003486750348675035,-0.045552138541616743,0.045552138541616743,internal_control,0.003486750348675035
HOGA1,0.04279279279279281,0.02719665271966525,0.03941441441441442,0.025801952580195235,0.6539387175998563,0.6539387175998563,lesion,0.03941441441441442
C10orf62,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
MORN4,0.09909909909909921,0.1317991631799165,0.08558558558558568,0.11436541143654132,-0.4113973596200349,0.4113973596200349,internal_control,0.11436541143654132
PI4K2A,0.08445945945945954,0.07043235704323576,0.06869369369369376,0.0655509065550907,0.26202064669398173,0.26202064669398173,lesion,0.06869369369369376
AVPI1,0.020270270270270268,0.024407252440725224,0.020270270270270268,0.02370990237099022,-0.2679445610871764,0.2679445610871764,internal_control,0.02370990237099022
MARVELD1,0.01238738738738739,0.01743375174337517,0.01238738738738739,0.01743375174337517,-0.4930110950737821,0.4930110950737821,internal_control,0.01743375174337517
ZFYVE27,0.10472972972972985,0.11157601115760127,0.0900900900900902,0.09902370990237112,-0.09135584058227599,0.09135584058227599,internal_control,0.09902370990237112
SFRP5,0.0011261261261261261,0.001394700139470014,0.0011261261261261261,0.001394700139470014,-0.3085863109475471,0.3085863109475471,internal_control,0.001394700139470014
LINC00866,0.0022522522522522522,0.007670850767085077,0.0022522522522522522,0.00697350069735007,-1.7680177238040022,1.7680177238040022,internal_control,0.00697350069735007
GOLGA7B,0.07995495495495503,0.09483960948396106,0.06306306306306311,0.08995815899581601,-0.24630227656195727,0.24630227656195727,internal_control,0.08995815899581601
CRTAC1,0.10585585585585594,0.1311018131101815,0.07207207207207214,0.11157601115760128,-0.3085865550237249,0.3085865550237249,internal_control,0.11157601115760128
R3HCC1L,0.2421171171171166,0.22245467224546767,0.18018018018017978,0.1778242677824271,0.12219367764970596,0.12219367764970596,lesion,0.18018018018017978
LOXL4,0.0045045045045045045,0.0020920502092050207,0.0045045045045045045,0.0020920502092050207,1.1064505723008415,1.1064505723008415,lesion,0.0045045045045045045
AL139241.1,0.0033783783783783786,0.001394700139470014,0.0033783783783783786,0.001394700139470014,1.2763753356986505,1.2763753356986505,lesion,0.0033783783783783786
PYROXD2,0.023648648648648643,0.018131101813110177,0.023648648648648643,0.018131101813110177,0.38329112842467783,0.38329112842467783,lesion,0.023648648648648643
HPS1,0.09684684684684695,0.06206415620641565,0.09121621621621633,0.05788005578800561,0.6419447577389438,0.6419447577389438,lesion,0.09121621621621633
AL139243.1,0.00563063063063063,0.003486750348675035,0.00563063063063063,0.003486750348675035,0.6914132848095369,0.6914132848095369,lesion,0.00563063063063063
HPSE2,5.612612612612612,2.34309623430962,0.42454954954954666,0.46931659693165206,1.2602562773510033,1.2602562773510033,lesion,0.42454954954954666
CNNM1,0.1002252252252253,0.2336122733612278,0.07545045045045053,0.1931659693165973,-1.2208704038080058,1.2208704038080058,internal_control,0.1931659693165973
GOT1,0.3310810810810801,0.21687587168758757,0.24099099099098997,0.1854951185495122,0.6103150147629122,0.6103150147629122,lesion,0.24099099099098997
AL391684.1,0.11148648648648661,0.08507670850767095,0.0979729729729731,0.07810320781032086,0.39003272085148016,0.39003272085148016,lesion,0.0979729729729731
LINC01475,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
AL513542.1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
NKX2-3,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
SLC25A28,0.0630630630630631,0.06764295676429573,0.05743243243243248,0.0655509065550907,-0.1011444762287933,0.1011444762287933,internal_control,0.0655509065550907
AL353719.1,0.0033783783783783786,0.0,0.0033783783783783786,0.0,21.68789991539498,21.68789991539498,lesion,0.0033783783783783786
AL133353.1,0.010135135135135136,0.01394700139470014,0.010135135135135136,0.01394700139470014,-0.46058961218857813,0.46058961218857813,internal_control,0.01394700139470014
ENTPD7,0.046171171171171185,0.03068340306834028,0.04279279279279281,0.02789400278940025,0.5895338125605079,0.5895338125605079,lesion,0.04279279279279281
CUTC,0.0912162162162163,0.06903765690376573,0.0822072072072073,0.06485355648535569,0.4019068200758077,0.4019068200758077,lesion,0.0822072072072073
COX15,0.09684684684684697,0.09762900976290109,0.08671171171171181,0.09135285913528603,-0.011604819771723741,0.011604819771723741,internal_control,0.09135285913528603
ABCC2,0.0045045045045045045,0.005578800557880056,0.0045045045045045045,0.005578800557880056,-0.3085864959730005,0.3085864959730005,internal_control,0.005578800557880056
DNMBP,0.11036036036036047,0.08647140864714097,0.08445945945945955,0.07601115760111583,0.3519269724686452,0.3519269724686452,lesion,0.08445945945945955
DNMBP-AS1,0.013513513513513518,0.00906555090655509,0.01238738738738739,0.00906555090655509,0.5759361725509405,0.5759361725509405,lesion,0.01238738738738739
CPN1,0.0,0.0020920502092050207,0.0,0.0020920502092050207,-20.996486735613576,20.996486735613576,internal_control,0.0020920502092050207
ERLIN1,0.09234234234234243,0.07043235704323575,0.07770270270270278,0.0655509065550907,0.390753959358007,0.390753959358007,lesion,0.07770270270270278
CHUK,0.09684684684684695,0.10739191073919123,0.08333333333333343,0.09483960948396107,-0.14910834217826663,0.14910834217826663,internal_control,0.09483960948396107
AL138921.2,0.0,0.001394700139470014,0.0,0.001394700139470014,-20.41152457969633,20.41152457969633,internal_control,0.001394700139470014
AL138921.1,0.0033783783783783786,0.000697350069735007,0.0033783783783783786,0.000697350069735007,2.2763743012874187,2.2763743012874187,lesion,0.0033783783783783786
CWF19L1,0.11036036036036048,0.1555090655509068,0.09459459459459471,0.1304044630404465,-0.49477660965795545,0.49477660965795545,internal_control,0.1304044630404465
BLOC1S2,0.13288288288288297,0.07880055788005587,0.1137387387387389,0.07391910739191081,0.7538775218471604,0.7538775218471604,lesion,0.1137387387387389
PKD2L1,0.010135135135135136,0.03138075313807529,0.009009009009009009,0.02789400278940025,-1.6305145561635401,1.6305145561635401,internal_control,0.02789400278940025
AL139819.1,0.0011261261261261261,0.001394700139470014,0.0011261261261261261,0.001394700139470014,-0.3085863109475471,0.3085863109475471,internal_control,0.001394700139470014
SCD,0.6216216216216215,0.4560669456066906,0.3806306306306282,0.32984658298465586,0.44679107278941416,0.44679107278941416,lesion,0.3806306306306282
OLMALINC,0.1520270270270271,0.13040446304044648,0.12049549549549567,0.11227336122733629,0.2213345779414857,0.2213345779414857,lesion,0.12049549549549567
WNT8B,0.0022522522522522522,0.0020920502092050207,0.0022522522522522522,0.0020920502092050207,0.10645089257903388,0.10645089257903388,lesion,0.0022522522522522522
SEC31B,0.12387387387387402,0.16527196652719697,0.105855855855856,0.14156206415620665,-0.4159700901045363,0.4159700901045363,internal_control,0.14156206415620665
NDUFB8,0.5765765765765755,0.27963737796373744,0.4065315315315288,0.22384937238493768,1.0439550132398878,1.0439550132398878,lesion,0.4065315315315288
HIF1AN,0.10698198198198211,0.1129707112970713,0.09459459459459471,0.10808926080892624,-0.07858095148699927,0.07858095148699927,internal_control,0.10808926080892624
PAX2,0.0022522522522522522,0.005578800557880056,0.0022522522522522522,0.005578800557880056,-1.3085861756948083,1.3085861756948083,internal_control,0.005578800557880056
AL138762.1,0.007882882882882882,0.003486750348675035,0.007882882882882882,0.003486750348675035,1.176840038773321,1.176840038773321,lesion,0.007882882882882882
SLF2,0.4740990990990972,0.4442119944211958,0.33333333333333137,0.33333333333333076,0.09394030295716214,0.09394030295716214,lesion,0.33333333333333137
AL133215.3,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
MRPL43,0.09346846846846857,0.045327754532775454,0.08445945945945955,0.045327754532775454,1.0440850442772973,1.0440850442772973,lesion,0.08445945945945955
SEMA4G,0.028153153153153143,0.02580195258019524,0.028153153153153143,0.024407252440725224,0.1258162618279216,0.1258162618279216,lesion,0.028153153153153143
AL133215.1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
TWNK,0.0045045045045045045,0.0020920502092050207,0.0045045045045045045,0.0020920502092050207,1.1064505723008415,1.1064505723008415,lesion,0.0045045045045045045
LZTS2,0.04954954954954958,0.04951185495118549,0.04617117117117119,0.04672245467224547,0.0010979414622480951,0.0010979414622480951,lesion,0.04617117117117119
PDZD7,0.04054054054054055,0.07043235704323574,0.03828828828828829,0.06066945606694565,-0.7968730238546193,0.7968730238546193,internal_control,0.06066945606694565
SFXN3,0.05743243243243248,0.0488145048814505,0.05405405405405409,0.04602510460251046,0.23455576294355698,0.23455576294355698,lesion,0.05405405405405409
AL133215.2,0.0011261261261261261,0.0,0.0011261261261261261,0.0,20.102938268748783,20.102938268748783,lesion,0.0011261261261261261
KAZALD1,0.0011261261261261261,0.0020920502092050207,0.0011261261261261261,0.0020920502092050207,-0.8935484668647945,0.8935484668647945,internal_control,0.0020920502092050207
TLX1NB,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
TLX1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
LINC01514,0.0,0.000697350069735007,0.0,0.000697350069735007,-19.41152561410756,19.41152561410756,internal_control,0.000697350069735007
LBX1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
LBX1-AS1,0.0022522522522522522,0.0041841004184100415,0.0022522522522522522,0.0041841004184100415,-0.893548762616975,0.893548762616975,internal_control,0.0041841004184100415
LINC02681,0.0,0.001394700139470014,0.0,0.001394700139470014,-20.41152457969633,20.41152457969633,internal_control,0.001394700139470014
AL133387.1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
AL133387.2,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
